Teks_Asli,Cleaned_Message,Label_Validasi
soalnya mau ngasih tau ortu kan ini diperbaiki jg yg layar hitamnya kan yg ga bisa tampil dn  ga diganti lcd yg baru jadi biar tau apa aja gt yg di ganti,soalnya mau ngasih tau ortu kan ini diperbaiki jg yg layar hitamnya kan yg ga bisa tampil dn ga diganti lcd yg baru jadi biar tau apa aja gt yg di ganti,setuju
engsel laptop kmrn tu yg kata abgnya agak goyang gmn tu kak?,engsel laptop kmrn tu yg kata abgnya agak goyang gmn tu kak,lainnya
"ooh oke"" kak perbaiki saja ya disitu nanti kl udh selesai kabarin",ooh oke kak perbaiki saja ya disitu nanti kl udh selesai kabarin,setuju
okey kak infokn kl sudah selesai diperbaiki,okey kak infokn kl sudah selesai diperbaiki,setuju
jm brp storenya tutup kak?,jm brp storenya tutup kak,lainnya
oke bg nanti diambil,oke bg nanti diambil,setuju
sy otw store bg,sy otw store bg,lainnya
Waalaikumsalam oke bang,waalaikumsalam oke bang,setuju
bisa kah bang,bisa kah bang,lainnya
nda ngelag kan bang,nda ngelag kan bang,lainnya
soalnya cuman buat tugas jaa bang,soalnya cuman buat tugas jaa bang,setuju
okee mksih bang harganya sama atau beda bang,okee mksih bang harganya sama atau beda bang,setuju
makasih banyak yaa bangggg,makasih banyak yaa bangggg,lainnya
besok udah bisa ambilkan bang,besok udah bisa ambilkan bang,lainnya
okee makasihhh banggg,okee makasihhh banggg,setuju
ha a bang kire kire brpe la bang nntik mun ade uangnye dibetulkan tauchpad nye,ha a bang kire kire brpe la bang nntik mun ade uangnye dibetulkan tauchpad nye,lainnya
bang malam bisa kan ambilnya,bang malam bisa kan ambilnya,lainnya
tutup jam brpa bang,tutup jam brpa bang,lainnya
bang bise download apk wa ke bg disinik,bang bise download apk wa ke bg disinik,lainnya
skrg masih buka kh bng,skrg masih buka kh bng,lainnya
ok bng saya otw skrg,ok bng saya otw skrg,lainnya
gaada obeng bng hehe besok saya ksna ya😅,gaada obeng bng hehe besok saya ksna ya,lainnya
Oke bang,oke bang,setuju
"Iya mas, dsini kondisi hujan",iya mas dsini kondisi hujan,lainnya
Gmn besok aja saya ke sana mas,gmn besok aja saya ke sana mas,lainnya
Saya otw ya mas,saya otw ya mas,lainnya
sip,sip,lainnya
Ok bang,ok bang,lainnya
Oke bang,oke bang,setuju
Masih lama kah download nya bang,masih lama kah download nya bang,lainnya
Bang,bang,lainnya
Ngape wa nye nda bise di buka ke,ngape wa nye nda bise di buka ke,lainnya
Ye,ye,lainnya
sudah bnv,sudah bnv,lainnya
wa nya jak yang dak bise,wa nya jak yang dak bise,lainnya
"BEGIN:VCARD
VERSION:3.0
N:;Brother Pai;;;
FN:Brother Pai 
TEL;type=CELL;type=VOICE;waid=6281156701235:+62 811-5670-1235
END:VCARD",beginvcard version nbrother pai fnbrother pai teltypecelltypevoicewaid endvcard,lainnya
Waalaikumsalam,waalaikumsalam,lainnya
bg hubungi ini ya,bg hubungi ini ya,lainnya
Bntar yee bang saye kesitu,bntar yee bang saye kesitu,lainnya
okes siap bang,okes siap bang,setuju
saya kesana ya,saya kesana ya,lainnya
Waalaikumussalam oke bang,waalaikumussalam oke bang,setuju
Kira2 tutup ny jam berapa ya bang?,kira tutup ny jam berapa ya bang,lainnya
Oke bang,oke bang,setuju
G,g,lainnya
Okee maksh bang nnti saye ambil,okee maksh bang nnti saye ambil,setuju
"Baik terimakasih kak info nya, tapi saya bisanya besok ngambilnya kak",baik terimakasih kak info nya tapi saya bisanya besok ngambilnya kak,lainnya
Okee kak saya ambil di hari jumat ya kak,okee kak saya ambil di hari jumat ya kak,setuju
"Hallo maaf kak, kalau ngambil sekarang bisa nggak kak?. Toko nya tutup jam berapa kak?",hallo maaf kak kalau ngambil sekarang bisa nggak kak toko nya tutup jam berapa kak,lainnya
Okee kak makasih infonya,okee kak makasih infonya,setuju
"Bang 
Tutup jam brp toko ny?",bang tutup jam brp toko ny,lainnya
"Laptop saye ndk mau hidup bang
Setelah di restart die ndk mau idup
Tpi kipas nye bunyi nyaring",laptop saye ndk mau hidup bang setelah di restart die ndk mau idup tpi kipas nye bunyi nyaring,lainnya
Buka setiap hari k bang?,buka setiap hari k bang,lainnya
"Okela bang
Nnti saye kesitu klw udh nd ujan",okela bang nnti saye kesitu klw udh nd ujan,setuju
Bang laptop saya udh k?,bang laptop saya udh k,lainnya
Belom k bang?,belom k bang,lainnya
Jadi harus gmn bang?,jadi harus gmn bang,lainnya
Jadi itu skrg bisa hidup ka bang masih?,jadi itu skrg bisa hidup ka bang masih,lainnya
Saya mau ambil file di dalamnya bang,saya mau ambil file di dalamnya bang,lainnya
"Skrg bisa hidup ka bang
Saya mau buka sbntr",skrg bisa hidup ka bang saya mau buka sbntr,lainnya
Saya bawa,saya bawa,lainnya
Iya bang,iya bang,lainnya
Gada bang hm,gada bang hm,lainnya
"Okela bang nanti saya pikirkan dulu 
Klo laptopnya disiitu dulu ndk apa kan bang?",okela bang nanti saya pikirkan dulu klo laptopnya disiitu dulu ndk apa kan bang,setuju
Klw bisa semua semuanya si kak hm,klw bisa semua semuanya si kak hm,lainnya
Iya bang,iya bang,lainnya
yg proposal penelitian lada jak,yg proposal penelitian lada jak,lainnya
kira kira jam brapa bisa ambil bang?,kira kira jam brapa bisa ambil bang,lainnya
Oke bang,oke bang,setuju
Oke bang,oke bang,setuju
"Okey bang, ntar sore sye ambill",okey bang ntar sore sye ambill,setuju
Bearti masalah laptopnya di processor ya,bearti masalah laptopnya di processor ya,lainnya
Okee bang,okee bang,setuju
Jam 12an saya ambil ya,jam an saya ambil ya,lainnya
Tadi gak keburu jdi krja dulu,tadi gak keburu jdi krja dulu,lainnya
"Ok bang, bntr y",ok bang bntr y,lainnya
baik bang,baik bang,lainnya
"baik bang, jd besok udh bisa di ambil ya bang",baik bang jd besok udh bisa di ambil ya bang,lainnya
oke bang diambil mlm ini aja,oke bang diambil mlm ini aja,setuju
Oke gpp mas,oke gpp mas,setuju
Brrti untuk yg engselnya gak bisa di apa apa in ya?,brrti untuk yg engselnya gak bisa di apa apa in ya,lainnya
Oke gppa mas,oke gppa mas,setuju
Iya mas perbaiki aja. Bsok pagi udh bisa di ambil?,iya mas perbaiki aja bsok pagi udh bisa di ambil,lainnya
Jam brpa mas kira kira?,jam brpa mas kira kira,lainnya
Oke makasih mas,oke makasih mas,setuju
Ok jm 9 ya,ok jm ya,lainnya
"Waalaikumsalam, Oke nanti saya ke sana",waalaikumsalam oke nanti saya ke sana,setuju
File hilang nda kak instal nye,file hilang nda kak instal nye,lainnya
Oke boleh kak lnjutkan,oke boleh kak lnjutkan,setuju
Jdi udh di cobe pakai keyboard Bru msih blom bise ke juga ke kak.,jdi udh di cobe pakai keyboard bru msih blom bise ke juga ke kak,lainnya
Iya kak lanjutkan 🙏🏻,iya kak lanjutkan,setuju
Kak apakah habis jumat slesai,kak apakah habis jumat slesai,lainnya
Oke kak info jak,oke kak info jak,setuju
Baiklah kak,baiklah kak,lainnya
Sye bwa ja dlu nngu kumpulkan uang bru cobe prbaiki,sye bwa ja dlu nngu kumpulkan uang bru cobe prbaiki,lainnya
"waalaikumsalam bang, besok ya",waalaikumsalam bang besok ya,lainnya
ini udh dg jasa matikan keyboard blm ya?,ini udh dg jasa matikan keyboard blm ya,lainnya
yg keyboard nya udh d matikan bisa kh bang,yg keyboard nya udh d matikan bisa kh bang,lainnya
"oke bang, intinya dak ke tekan"" sendiri",oke bang intinya dak ke tekan sendiri,setuju
berarti udh gak timbul lagi kan,berarti udh gak timbul lagi kan,lainnya
besok buka jam brpa ya?,besok buka jam brpa ya,lainnya
oke ka tar ya balik ngampus,oke ka tar ya balik ngampus,setuju
Okeee kak,okeee kak,setuju
Buka sampe jam berapa bg,buka sampe jam berapa bg,lainnya
Okee kak,okee kak,setuju
Okee bangg,okee bangg,setuju
Okee bg,okee bg,setuju
iyaa kak,iyaa kak,lainnya
iya kak,iya kak,lainnya
baik kk,baik kk,lainnya
tutup jm brp kk,tutup jm brp kk,lainnya
bsk bisa kh diambil?,bsk bisa kh diambil,lainnya
oke kk bsk yaa,oke kk bsk yaa,setuju
saya otw kak,saya otw kak,lainnya
"oke bang, agak sore nanti ya bang soalnya lagi kegiatan di luar",oke bang agak sore nanti ya bang soalnya lagi kegiatan di luar,setuju
boleh bang,boleh bang,setuju
oke bang,oke bang,setuju
"oke bang, nanti sore saya kesana",oke bang nanti sore saya kesana,setuju
Iyaa bg,iyaa bg,lainnya
Kybord nya non aktifkan jak bg,kybord nya non aktifkan jak bg,lainnya
Emang udah rusak kybord nya suka error,emang udah rusak kybord nya suka error,lainnya
Ok bg,ok bg,lainnya
Ok bg,ok bg,lainnya
Kalo boleh tau bang kalo semisalnya bongkar biayanya berapa ya bng? Apakah nambah,kalo boleh tau bang kalo semisalnya bongkar biayanya berapa ya bng apakah nambah,setuju
Ohh baik lahh bang,ohh baik lahh bang,lainnya
Boleh bang,boleh bang,setuju
Ohh iya baik bang,ohh iya baik bang,lainnya
Ohhh ga bisa yaa bang,ohhh ga bisa yaa bang,lainnya
Ohhh baik lhh bng,ohhh baik lhh bng,lainnya
Nanti saya ambil labtob nya,nanti saya ambil labtob nya,lainnya
Bang ko labtob nya ga hidup??,bang ko labtob nya ga hidup,lainnya
Tapi sekarang pas di cas ndk mau nyala BG laptop nya,tapi sekarang pas di cas ndk mau nyala bg laptop nya,lainnya
"Katanya udh dibongkar BG, soalnya segelnya dh kebuka?",katanya udh dibongkar bg soalnya segelnya dh kebuka,lainnya
"Boleh kah saya ketempat Abg lagi mastikanya, soalnya ndk bisa hidup ni laptopnya",boleh kah saya ketempat abg lagi mastikanya soalnya ndk bisa hidup ni laptopnya,setuju
Pagi bang,pagi bang,lainnya
Gimana Progress labtob sekarang bang??,gimana progress labtob sekarang bang,lainnya
"Ohhh baik lhh bng
 Perkiraan butuh berapa lama yaa, sebelum lebaran udah bisa jadi gak bng",ohhh baik lhh bng perkiraan butuh berapa lama yaa sebelum lebaran udah bisa jadi gak bng,lainnya
Ohhh iyaa lahh bang,ohhh iyaa lahh bang,lainnya
"Hee maaf gak bisa bng lagi ada mata kuliah tdi bng full lagii ga main hp jga bng, kalo besok bisa ga bng datangnya??",hee maaf gak bisa bng lagi ada mata kuliah tdi bng full lagii ga main hp jga bng kalo besok bisa ga bng datangnya,lainnya
Iya bng siap,iya bng siap,lainnya
Sore bang,sore bang,lainnya
Kalo boleh tau apa masalah dalam labtob tu ya  bang? Lupa saya bng,kalo boleh tau apa masalah dalam labtob tu ya bang lupa saya bng,setuju
Ohh oky lah bang,ohh oky lah bang,lainnya
Gimana Progress sekarang bang,gimana progress sekarang bang,lainnya
Ohh baik lhh bng,ohh baik lhh bng,lainnya
Oky bng,oky bng,lainnya
Bang bisa minta bukti pembayaran Ndak orang rumah mau Liat tkut sye dibilang bohong pla 😅,bang bisa minta bukti pembayaran ndak orang rumah mau liat tkut sye dibilang bohong pla,lainnya
Bng hari ini tutup jam berapa bng?,bng hari ini tutup jam berapa bng,lainnya
"Oke, besok pagi saya ambil",oke besok pagi saya ambil,setuju
Toko buka jam berapa ya?,toko buka jam berapa ya,lainnya
Data aman kah min,data aman kah min,setuju
"Oke, Thankyou",oke thankyou,setuju
Oo gtu ya oke la bg..upgrade lagi aja la bg ke wd 11,oo gtu ya oke la bgupgrade lagi aja la bg ke wd,setuju
Oo iya bg file lama apk nya ada di data d bg,oo iya bg file lama apk nya ada di data d bg,lainnya
Td saye taruh dstu si bg,td saye taruh dstu si bg,lainnya
Oke la bg,oke la bg,setuju
Kehapus kayanya,kehapus kayanya,lainnya
Iye bg,iye bg,lainnya
Masih kosong bg,masih kosong bg,lainnya
Bg boleh liatkn di document nd bg?,bg boleh liatkn di document nd bg,setuju
Ade data pdf ga dstu?,ade data pdf ga dstu,lainnya
1 ja si,ja si,lainnya
Pendaftaran nd salah tu name pdfnye,pendaftaran nd salah tu name pdfnye,lainnya
Ha boleh nd kirim ke saye atau simpan ke data d bg ye,ha boleh nd kirim ke saye atau simpan ke data d bg ye,setuju
Okee makasii bg,okee makasii bg,setuju
Bise ambil mlm ni kn bg?,bise ambil mlm ni kn bg,lainnya
Saye ambil malam bise nd bg? Saye masih di tmpt krja,saye ambil malam bise nd bg saye masih di tmpt krja,lainnya
Jam 9 saye plg bg..mungkin smpai di stu jam 9 lewat gtu bg..,jam saye plg bgmungkin smpai di stu jam lewat gtu bg,lainnya
Makasii bnyk ya bg🙏🏻,makasii bnyk ya bg,lainnya
Otw bg,otw bg,lainnya
Waalaikumussalam oke bang,waalaikumussalam oke bang,setuju
Okee bg,okee bg,setuju
Okelah bg,okelah bg,setuju
Iya bang,iya bang,lainnya
Bisa di ambil kapan setelah smua di servis,bisa di ambil kapan setelah smua di servis,lainnya
Malam ini bisa ya?,malam ini bisa ya,lainnya
Iya,iya,lainnya
Okey bang,okey bang,setuju
"Bg infokan secepatnya ya kpn bisa di ambil, soalnya lgi butuh 🙏",bg infokan secepatnya ya kpn bisa di ambil soalnya lgi butuh,lainnya
Okey bang,okey bang,setuju
Okey bg,okey bg,setuju
Segera di ambil,segera di ambil,lainnya
bg bise nda ye saye minta instal windows yg lama .. karne saye tak ngerti pake windows yg skrg malah jadi kek gaptek 🥲,bg bise nda ye saye minta instal windows yg lama karne saye tak ngerti pake windows yg skrg malah jadi kek gaptek,lainnya
maksud saya minta instal kan ke windows pas laptop saya sebelum di install,maksud saya minta instal kan ke windows pas laptop saya sebelum di install,lainnya
10 ke 11 kmren tu,ke kmren tu,lainnya
gpp,gpp,lainnya
saya benar2 nda ngerti soalnya sama windows 8,saya benar nda ngerti soalnya sama windows,lainnya
ok bg,ok bg,lainnya
bg kenapa laptop gini lagi ya,bg kenapa laptop gini lagi ya,lainnya
laptop udah k bang,laptop udah k bang,lainnya
hari ini bs ambil?,hari ini bs ambil,lainnya
buka sampe jam brp bg,buka sampe jam brp bg,lainnya
kalo skrg dah tutup ke bg?,kalo skrg dah tutup ke bg,lainnya
ambil skrg buka nda bg,ambil skrg buka nda bg,lainnya
"Sore bang, anugerah komputer kalau malam tutup jam brpa ya?",sore bang anugerah komputer kalau malam tutup jam brpa ya,lainnya
Jadi udah bisa ya kk?,jadi udah bisa ya kk,lainnya
Iya kosong,iya kosong,lainnya
Itu ada disitu filenya,itu ada disitu filenya,lainnya
"Engga, filenya engga kosong, kemarin di download abistu ada pilihan nya, tau2 di buka kosong",engga filenya engga kosong kemarin di download abistu ada pilihan nya tau di buka kosong,lainnya
File yg semua di download kmren,file yg semua di download kmren,lainnya
Coba aja kk,coba aja kk,lainnya
Yang penting word ny nda bermasalah lg,yang penting word ny nda bermasalah lg,lainnya
Ini kmren,ini kmren,lainnya
Tapi di laptop lain mau,tapi di laptop lain mau,lainnya
Di laptop saya gamau,di laptop saya gamau,lainnya
"Coba di edit dri situ, kek tambah2 ketikan apa gtu, abistu di save",coba di edit dri situ kek tambah ketikan apa gtu abistu di save,lainnya
Bisa ga di aave,bisa ga di aave,lainnya
Kmren ga bisa di save,kmren ga bisa di save,lainnya
Kalau di install semua ga hilang kan ? Gada yg hilang gtu,kalau di install semua ga hilang kan gada yg hilang gtu,lainnya
Jdi udh bisa di ambil ya? Total berapa jadinya kk?,jdi udh bisa di ambil ya total berapa jadinya kk,lainnya
Bisa tf nda?,bisa tf nda,lainnya
Boleh krim norek nya nda,boleh krim norek nya nda,setuju
Bang maaf mau tanya kemarin waktu install ulang semua file yang ada disini ada di backup nda ya?,bang maaf mau tanya kemarin waktu install ulang semua file yang ada disini ada di backup nda ya,lainnya
Jdi yg disini hilang semua? Benar2 nd ada yg di backup?,jdi yg disini hilang semua benar nd ada yg di backup,lainnya
"Alaa bang kenpa nda di bilang kemarin kalau nd bisa, ada beberapa file penting belum di pindah ke D, saya kira backup data semua bisa di pindah ke D🥲",alaa bang kenpa nda di bilang kemarin kalau nd bisa ada beberapa file penting belum di pindah ke d saya kira backup data semua bisa di pindah ke d,lainnya
"Jurnal2 juga gaada, saya kira udh di masukin ke backup di data d",jurnal juga gaada saya kira udh di masukin ke backup di data d,lainnya
Klw blh tau jam brp ya tutup nya,klw blh tau jam brp ya tutup nya,lainnya
untuk kesalahan ny di situ saja ya kak,untuk kesalahan ny di situ saja ya kak,lainnya
jadi supaya bisa masuk ke windows nya harus di install ulang ya kak,jadi supaya bisa masuk ke windows nya harus di install ulang ya kak,lainnya
berarti harus di ganti keyboard ny dlu baru bisa di instal ulang kak,berarti harus di ganti keyboard ny dlu baru bisa di instal ulang kak,setuju
untuk keyboard ny ada yg lain ndak kak,untuk keyboard ny ada yg lain ndak kak,lainnya
maaf kak keyboard ny yg di bawah 550 ribu ada ndak ya kak🙏🏼,maaf kak keyboard ny yg di bawah ribu ada ndak ya kak,lainnya
Oke sip bg terimakasih infonya,oke sip bg terimakasih infonya,setuju
Bang laptopnya aku ambil abis ini yaaak,bang laptopnya aku ambil abis ini yaaak,lainnya
Ok nanti saya ke sana dulu,ok nanti saya ke sana dulu,lainnya
Hari ini tutup jam brp bg,hari ini tutup jam brp bg,lainnya
Ok nanti saya ke sana,ok nanti saya ke sana,lainnya
Info bg kapan bisa ambil😊,info bg kapan bisa ambil,lainnya
Jadi gimana,jadi gimana,lainnya
Iya gitu aja deh mba,iya gitu aja deh mba,lainnya
Untuk nyimpan file aja jga sih,untuk nyimpan file aja jga sih,lainnya
"Mba, laptopnya udah selsau ngk ya?",mba laptopnya udah selsau ngk ya,lainnya
Tokonya jam berapa tutup ya mba,tokonya jam berapa tutup ya mba,lainnya
Tunggu dulu hujannya redah ya mba,tunggu dulu hujannya redah ya mba,lainnya
"Kalau ngk sempat malam ini, besok pagi aja saya ambil",kalau ngk sempat malam ini besok pagi aja saya ambil,lainnya
ok,ok,lainnya
Berapa biayanya ya bang,berapa biayanya ya bang,lainnya
Alhamdulillah benar lah bang,alhamdulillah benar lah bang,lainnya
Makasih bg🙏🏻,makasih bg,lainnya
iya bang,iya bang,lainnya
aman kan bang?,aman kan bang,setuju
okeey,okeey,setuju
"besok ya bang saya ambil, untuk harga bisa d infoin disini ga bang?",besok ya bang saya ambil untuk harga bisa d infoin disini ga bang,lainnya
okeyy bang,okeyy bang,setuju
"maaf bang br lihat, kalo ganti hard disk aja gimana bang",maaf bang br lihat kalo ganti hard disk aja gimana bang,setuju
kl tinggal 27 itu pemakaian masih brp lama bang,kl tinggal itu pemakaian masih brp lama bang,lainnya
"saya ambil aja dl bang hr ini, nnt kl udh deal sm papa saya br saya kesana lagi",saya ambil aja dl bang hr ini nnt kl udh deal sm papa saya br saya kesana lagi,lainnya
oke sep bang,oke sep bang,setuju
kalak la bang insyaallah saye ngambek nye,kalak la bang insyaallah saye ngambek nye,lainnya
Windos nya mati.klw bisa hidupkan bng,windos nya matiklw bisa hidupkan bng,lainnya
Ok,ok,lainnya
Berapa semuanya ongkosnya bang,berapa semuanya ongkosnya bang,lainnya
Ok,ok,lainnya
Klw betulin semua sama baterai berapa bng,klw betulin semua sama baterai berapa bng,lainnya
Jadi semua total berapa bng,jadi semua total berapa bng,lainnya
Tak bisa kurang LG k,tak bisa kurang lg k,lainnya
Ok lh bang.yg pnting aman,ok lh bangyg pnting aman,setuju
Ok,ok,lainnya
Gmn bng,gmn bng,lainnya
Kemaren bagus tu bng.,kemaren bagus tu bng,lainnya
Yg tak mau ngisik tu.pakai pengecas siapa,yg tak mau ngisik tupakai pengecas siapa,lainnya
Klw pengecas berapa bng,klw pengecas berapa bng,lainnya
Udah aman semua yg lain tu bng,udah aman semua yg lain tu bng,setuju
1200000 tak dapat sama pengecas ya bng,tak dapat sama pengecas ya bng,lainnya
"bang, kalau ganti batrai brp-an ya?",bang kalau ganti batrai brpan ya,setuju
Oke bang,oke bang,setuju
Ohh iya makasih kak,ohh iya makasih kak,lainnya
okee bang,okee bang,setuju
tokonya tutup jam berapa ya?,tokonya tutup jam berapa ya,lainnya
oke bang,oke bang,setuju
"jam 3 bisa kah bang,soal nya saya masih ada kuliah",jam bisa kah bangsoal nya saya masih ada kuliah,lainnya
Masalah lain gak ada bang?,masalah lain gak ada bang,lainnya
Data nya ilang ga klo instal ulang?,data nya ilang ga klo instal ulang,lainnya
Habis berapa itu bg klo di total,habis berapa itu bg klo di total,lainnya
Ms word bisa di update ndk?,ms word bisa di update ndk,lainnya
Tak bise kurang kh bangg,tak bise kurang kh bangg,lainnya
Bentar bang nanyak mamak lok,bentar bang nanyak mamak lok,lainnya
Bang kalo gak jadi saya bayar berapa?,bang kalo gak jadi saya bayar berapa,lainnya
"Saya ambil ajaa besok bang, maaf ya bangg budget nya belum adaa",saya ambil ajaa besok bang maaf ya bangg budget nya belum adaa,lainnya
Oke bg,oke bg,setuju
Okei bg,okei bg,setuju
bg bisa ndk ambil nya besok pas saya plg kuliah aja??,bg bisa ndk ambil nya besok pas saya plg kuliah aja,lainnya
okeyy,okeyy,setuju
bg bisa qris/tf nd?,bg bisa qristf nd,lainnya
bg kirim no rek,bg kirim no rek,lainnya
ok bntr bg,ok bntr bg,lainnya
Betulkan bg atas nama Uray raysa anjiza,betulkan bg atas nama uray raysa anjiza,lainnya
Oke bang,oke bang,setuju
Boleh bang,boleh bang,setuju
Kalau bisa Senin udh bisa diambil ya bang,kalau bisa senin udh bisa diambil ya bang,lainnya
Oke bang,oke bang,setuju
Boleh video in endk bang,boleh video in endk bang,setuju
Sekali no rek ya bang,sekali no rek ya bang,lainnya
Oke bang besok saya ambil,oke bang besok saya ambil,setuju
Kalau udh tf nanti saye kirimkan bukti nye bang,kalau udh tf nanti saye kirimkan bukti nye bang,lainnya
Bang untuk pengecas nye tu Ade endk sekalian jual penyambung nye tu,bang untuk pengecas nye tu ade endk sekalian jual penyambung nye tu,lainnya
Iye bang,iye bang,lainnya
Yg kabel penyambung nye tdik tuu bang,yg kabel penyambung nye tdik tuu bang,lainnya
Yang patah tuu,yang patah tuu,lainnya
Ade endk kabel nye jual,ade endk kabel nye jual,lainnya
Iye bang,iye bang,lainnya
Tmbh itu,tmbh itu,lainnya
Oke bang,oke bang,setuju
Besok bukak jam brpe bang,besok bukak jam brpe bang,lainnya
Oke bang,oke bang,setuju
"halo kak, waktunya berapa hari ya kak kira kira?",halo kak waktunya berapa hari ya kak kira kira,lainnya
okeyy baik kak,okeyy baik kak,setuju
iya kak lanjut,iya kak lanjut,setuju
terus gimana ya kak?,terus gimana ya kak,lainnya
ada rekomendasi tempat yg bisa nggak ya kak,ada rekomendasi tempat yg bisa nggak ya kak,lainnya
berapa ya kak biaya betulin kaya gitu,berapa ya kak biaya betulin kaya gitu,lainnya
mahal sekali ya kak huhu,mahal sekali ya kak huhu,batal
kak boleh minta tolong copotkan ssd penyimpanan nggak? saya mau ambil laptop nya sekarang,kak boleh minta tolong copotkan ssd penyimpanan nggak saya mau ambil laptop nya sekarang,setuju
okey makasih kak,okey makasih kak,setuju
"tapi kayanya diambil besok deh kak, hujan lebat",tapi kayanya diambil besok deh kak hujan lebat,lainnya
kak ada jual kabel penghubung ssd ke laptop nggak?,kak ada jual kabel penghubung ssd ke laptop nggak,lainnya
Maaf bg mau tanya,maaf bg mau tanya,lainnya
Laptopnyaa gimna ya bg?,laptopnyaa gimna ya bg,lainnya
Yg ini🙏🏻,yg ini,lainnya
Hallo bang,hallo bang,lainnya
"Maaf bang mau tanya, laptop nya gimna ya bg?",maaf bang mau tanya laptop nya gimna ya bg,lainnya
Ohh okee bang?,ohh okee bang,setuju
Hallo bg maaf mau tanya laptop yg ini gimna ya? Udah selesai blm ya?,hallo bg maaf mau tanya laptop yg ini gimna ya udah selesai blm ya,lainnya
Bang laptop saya gimna?,bang laptop saya gimna,lainnya
"Kalo emng udh nggak bisa dibetulkan biar saya ambil aja, udah lama juga",kalo emng udh nggak bisa dibetulkan biar saya ambil aja udah lama juga,lainnya
Okee bang,okee bang,setuju
"Okee kak, kabarin aja nnti ya bg",okee kak kabarin aja nnti ya bg,setuju
Gimna bang udah dapat kah?,gimna bang udah dapat kah,lainnya
Terus itu gimna ya bang,terus itu gimna ya bang,lainnya
Nggak bisa ya berarti,nggak bisa ya berarti,lainnya
Ohh okee bang,ohh okee bang,setuju
Besok bararti bisa udah saya ambil bang?,besok bararti bisa udah saya ambil bang,lainnya
Ohh oke bang,ohh oke bang,setuju
Bang kalo prosecor nya dibetulin nggak bisa juga ya?,bang kalo prosecor nya dibetulin nggak bisa juga ya,lainnya
brapa bg,brapa bg,lainnya
okey bg bntr lagi otw,okey bg bntr lagi otw,setuju
"Owalah, gitu berarti harus ganti baterai ya kak ?",owalah gitu berarti harus ganti baterai ya kak,setuju
Oke kak kalo gitu brarti masi bisa di pakai normal walau tanpa baterai ya yg penting sambil di charger👌,oke kak kalo gitu brarti masi bisa di pakai normal walau tanpa baterai ya yg penting sambil di charger,setuju
Berapa totalnya kak,berapa totalnya kak,lainnya
Bang ada jual laptop harga 2 jutaan gk,bang ada jual laptop harga jutaan gk,lainnya
"Terimakasihhhh bang, senin yang saya ambilll",terimakasihhhh bang senin yang saya ambilll,lainnya
laptop maksud saye,laptop maksud saye,lainnya
Sistemnya langsung tunai atau bisa nyicil kak,sistemnya langsung tunai atau bisa nyicil kak,lainnya
"Oke kak nanti saya kabarin lagi masi mau nyari-nyari laptop secund soalnya, sama mau nabung dulu 🙏",oke kak nanti saya kabarin lagi masi mau nyarinyari laptop secund soalnya sama mau nabung dulu,setuju
Iya kah kak gimana persyaratannya,iya kah kak gimana persyaratannya,lainnya
Siiip oke makasi kak,siiip oke makasi kak,setuju
oke bang,oke bang,setuju
bang kalau ganti touchpad tu brp?,bang kalau ganti touchpad tu brp,setuju
nd bise kurang ke bang,nd bise kurang ke bang,lainnya
tiba-tiba jak bang,tibatiba jak bang,lainnya
bntr ye bang maaf sy tnya ibu sy dlu🙏🏻,bntr ye bang maaf sy tnya ibu sy dlu,lainnya
maaf bang laptop ny sy pakai jk dlu🙏🏻,maaf bang laptop ny sy pakai jk dlu,lainnya
ad ongkos lain kah bang pas pengambilan,ad ongkos lain kah bang pas pengambilan,lainnya
oke bang,oke bang,setuju
nanti saya ambil,nanti saya ambil,lainnya
biarr jakkk,biarr jakkk,lainnya
nd lama jg pke laptop itu bg,nd lama jg pke laptop itu bg,lainnya
cm mau ambil file aj,cm mau ambil file aj,lainnya
"sbnarnya cma takut hilang file nya, tp klo bsa sklian mau perbaiki juga",sbnarnya cma takut hilang file nya tp klo bsa sklian mau perbaiki juga,lainnya
"sebenarnya satu lagi kk
dilaptop itu ad satu produk yg dari awal udh dibuat disitu",sebenarnya satu lagi kk dilaptop itu ad satu produk yg dari awal udh dibuat disitu,lainnya
bentar kk saya mikir bntarr,bentar kk saya mikir bntarr,lainnya
"laptonya bisa diambil dulu nd kk, klo bisa nnti saya ambil tpi sudh di perbaiki blm",laptonya bisa diambil dulu nd kk klo bisa nnti saya ambil tpi sudh di perbaiki blm,lainnya
agak sorean nnti ya kk,agak sorean nnti ya kk,lainnya
"oke bang, tutup jam brapa",oke bang tutup jam brapa,setuju
okee,okee,setuju
Oke siap bang sore atau Maghrib saye ke sana,oke siap bang sore atau maghrib saye ke sana,setuju
"Pagi kk, maaf kk mau tanya. Ini kenapa ya laptop saya tu pas lagi buka chrome tiba-tiba biru trs ada tulisan yg intinya ""your device restart"" gitu lah kk, cuma sekitar 5 detik langsung mati😔😔",pagi kk maaf kk mau tanya ini kenapa ya laptop saya tu pas lagi buka chrome tibatiba biru trs ada tulisan yg intinya your device restart gitu lah kk cuma sekitar detik langsung mati,lainnya
"Mlm kk, mau nnya kk. Laptop yg td kmi antar (dell) atas nama Nauli udh selesai di cek kn kah kk?",mlm kk mau nnya kk laptop yg td kmi antar dell atas nama nauli udh selesai di cek kn kah kk,lainnya
