Message Body,Teks_Bersih,Label
"sbnarnya cma takut hilang file nya, tp klo bsa sklian mau perbaiki juga",sbnarnya cma takut hilang file nya tp klo bsa sklian mau perbaiki juga,setuju
"sebenarnya satu lagi kk
dilaptop itu ad satu produk yg dari awal udh dibuat disitu",sebenarnya satu lagi kk dilaptop itu ad satu produk yg dari awal udh dibuat disitu,setuju
bentar kk saya mikir bntarr,bentar kk saya mikir bntarr,setuju
"laptonya bisa diambil dulu nd kk, klo bisa nnti saya ambil tpi sudh di perbaiki blm",laptonya bisa diambil dulu nd kk klo bisa nnti saya ambil tpi sudh di perbaiki blm,setuju
agak sorean nnti ya kk,agak sorean nnti ya kk,setuju
"oke bang, tutup jam brapa",oke bang tutup jam brapa,setuju
okee,okee,setuju
Oke siap bang sore atau Maghrib saye ke sana,oke siap bang sore atau maghrib saye ke sana,setuju
"Pagi kk, maaf kk mau tanya. Ini kenapa ya laptop saya tu pas lagi buka chrome tiba-tiba biru trs ada tulisan yg intinya ""your device restart"" gitu lah kk, cuma sekitar 5 detik langsung mati😔😔",pagi kk maaf kk mau tanya ini kenapa ya laptop saya tu pas lagi buka chrome tibatiba biru trs ada tulisan yg intinya your device restart gitu lah kk cuma sekitar 5 detik langsung mati,setuju
"Mlm kk, mau nnya kk. Laptop yg td kmi antar (dell) atas nama Nauli udh selesai di cek kn kah kk?",mlm kk mau nnya kk laptop yg td kmi antar dell atas nama nauli udh selesai di cek kn kah kk,tanya_status
"Ok kk, terimakasih ya",ok kk terimakasih ya,setuju
"Oiya kk, sore nya jam berapa ya?",oiya kk sore nya jam berapa ya,setuju
Ok deh kk,ok deh kk,setuju
"Ok kk, sbntr lagi kmi ambil",ok kk sbntr lagi kmi ambil,setuju
Jadinya berapa bang ..klau nambah banyak ndk tu bang .,jadinya berapa bang klau nambah banyak ndk tu bang,setuju
Duetnya tak cukup bang .,duetnya tak cukup bang,setuju
Iya udh lh .,iya udh lh,setuju
Iya.,iya,setuju
Saya mau ambil jam 3 an tapi kira kira masih buka ga ya bang?,saya mau ambil jam 3 an tapi kira kira masih buka ga ya bang,setuju
Oh iyalah jam 3 saya ambil..,oh iyalah jam 3 saya ambil,setuju
Okey bang bentar lagi di ambil,okey bang bentar lagi di ambil,setuju
Brpa bg klau betulkn frame tuh,brpa bg klau betulkn frame tuh,umum_teknis
Ok bg,ok bg,setuju
siang sy tnya org rmh dlu y,siang sy tnya org rmh dlu y,setuju
Oke kk,oke kk,setuju
Besok saya ambil,besok saya ambil,setuju
Ok,ok,setuju
Besok saya coba kesana ya kak,besok saya coba kesana ya kak,setuju
Terimakasih yaa kk informasinyaa🙏🏻,terimakasih yaa kk informasinyaa,setuju
oke bang,oke bang,setuju
tutup jam berape tapinye bang soalnye kamek balek malam,tutup jam berape tapinye bang soalnye kamek balek malam,umum_teknis
"baik kak terimakasih infonya, mungkin malam baru bisa saya ambil",baik kak terimakasih infonya mungkin malam baru bisa saya ambil,setuju
"Waalaikumsalam, biarin jak bg,biayanya trllu besar,nnti klo turun,sy ambil",waalaikumsalam biarin jak bgbiayanya trllu besarnnti klo turunsy ambil,setuju
Waalalikumsalam.. ntar aja setelah magrib ya.. sekarang nanggung mau keluar🙏,waalalikumsalam ntar aja setelah magrib ya sekarang nanggung mau keluar,setuju
Ok pak,ok pak,setuju
Iya bang,iya bang,setuju
Oke bang nnti sore saya ambil,oke bang nnti sore saya ambil,setuju
Oke... Ditunggu info lanjutan. Setelah cek ulang. TRIms 🙏,oke ditunggu info lanjutan setelah cek ulang trims,setuju
"Selamat pagii .. update kondisi laptop Lenovo yg saya titip kemarin.? Apakah bisa diperbaiki atau ada part yg hrs ganti?

TRIms 🙏",selamat pagii update kondisi laptop lenovo yg saya titip kemarin apakah bisa diperbaiki atau ada part yg hrs ganti trims,setuju
Yg laptop part gosong. Part nya bagian apa .?,yg laptop part gosong part nya bagian apa,setuju
Utk LCD touchscreen mungkin tak apalah tak bisa diperbaiki atau diganti LCD nya,utk lcd touchscreen mungkin tak apalah tak bisa diperbaiki atau diganti lcd nya,setuju
Yang ini cari in dulu lah ya,yang ini cari in dulu lah ya,setuju
Ok.info lanjutan ditunggu. Trims,okinfo lanjutan ditunggu trims,setuju
Ok.. besok saya ambil laptop nya. TRIms 🙏,ok besok saya ambil laptop nya trims,setuju
Masih buka kan,masih buka kan,umum_teknis
Saya otw skng bg,saya otw skng bg,setuju
"Sore kak, baik terimakasih kak saya konfirmasi dulu ya kak sama orang tua kalau laptopnya sudah selesai",sore kak baik terimakasih kak saya konfirmasi dulu ya kak sama orang tua kalau laptopnya sudah selesai,tanya_status
Tutup nya sekitar jam berapa ya kak?,tutup nya sekitar jam berapa ya kak,setuju
"Oiya baik kak, nanti hari ini diambil",oiya baik kak nanti hari ini diambil,setuju
oke bang,oke bang,setuju
toko tutup jam brapa yaa,toko tutup jam brapa yaa,setuju
tadi totalnya berapa bang,tadi totalnya berapa bang,setuju
oke bang,oke bang,setuju
bang bise beso ke ngambil laptobnya,bang bise beso ke ngambil laptobnya,setuju
oke bang beso ya saya ambilnya,oke bang beso ya saya ambilnya,setuju
tungguu yaa bang saya nanya orang tua duluu,tungguu yaa bang saya nanya orang tua duluu,setuju
nanti saya konfirmasi kembali,nanti saya konfirmasi kembali,setuju
lcd aman ke bang,lcd aman ke bang,umum_teknis
700 itu udh sama lcd ke belom bang,700 itu udh sama lcd ke belom bang,umum_teknis
okee lanjutkan service nya bang kalau udah selesai konfirmasi yaa,okee lanjutkan service nya bang kalau udah selesai konfirmasi yaa,tanya_status
sipp,sipp,setuju
udah ke bang laptop nya?,udah ke bang laptop nya,setuju
info jak ye kalau udh selesai,info jak ye kalau udh selesai,tanya_status
"siang.
okei nanti saya ambil",siang okei nanti saya ambil,setuju
iyaa bang konfirmasi lagi yaa,iyaa bang konfirmasi lagi yaa,setuju
okelaa bang,okelaa bang,setuju
nanti saya ambil,nanti saya ambil,setuju
Okeyy bg besok jak ya saya ambil,okeyy bg besok jak ya saya ambil,setuju
jdi mslah ny ap bang biaya ny brpa,jdi mslah ny ap bang biaya ny brpa,setuju
okeee,okeee,setuju
Bang saya ambil hari minggu atau senin ya bang soal ny lagi ndk ada di ponti,bang saya ambil hari minggu atau senin ya bang soal ny lagi ndk ada di ponti,setuju
Bang toko ny tutup jam berapa ya bang,bang toko ny tutup jam berapa ya bang,setuju
Oke,oke,setuju
Windows 11 kan ya?,windows 11 kan ya,setuju
Mesin nya kenapa bg?,mesin nya kenapa bg,setuju
Ganti mesin atau gimana bg?,ganti mesin atau gimana bg,umum_teknis
Bg laptop nya sudah bisa kah?,bg laptop nya sudah bisa kah,setuju
Sudah selesai service kah?,sudah selesai service kah,tanya_status
Oklah bg,oklah bg,setuju
InsyaAllah besok sy ambil bg,insyaallah besok sy ambil bg,setuju
Jam brpa tutup tokonya bang,jam brpa tutup tokonya bang,setuju
Bang sya sdh jln ksna,bang sya sdh jln ksna,setuju
"Sbntr ya, sdh di ayani",sbntr ya sdh di ayani,setuju
"Baru gitu kah bg depannya, nda pakai yang patah itu lagi ya bg",baru gitu kah bg depannya nda pakai yang patah itu lagi ya bg,setuju
"Oke bg, ntr saya nanya ortu dulu ya bg",oke bg ntr saya nanya ortu dulu ya bg,setuju
Jadi kalau dengan cas ni 650 ya bg,jadi kalau dengan cas ni 650 ya bg,setuju
Oke ntr saya tanya ortu dulu ya bg,oke ntr saya tanya ortu dulu ya bg,setuju
Bg ada garansinya nda ya kalau udah ganti frame,bg ada garansinya nda ya kalau udah ganti frame,setuju
"Alhamdulillah, cepat sekali bg, saya mungkin belum ambilnya bg, nanti pas mau ambil saya kabarin",alhamdulillah cepat sekali bg saya mungkin belum ambilnya bg nanti pas mau ambil saya kabarin,tanya_status
Saya belum ambil bg,saya belum ambil bg,tanya_status
Oke bang,oke bang,setuju
oke,oke,setuju
Ada garansi kah bg,ada garansi kah bg,umum_teknis
Tutup smpai jam berapa bg,tutup smpai jam berapa bg,umum_teknis
Pengerjaan nya,pengerjaan nya,setuju
Nnti malam atau besok bisa gak,nnti malam atau besok bisa gak,setuju
Okey bg,okey bg,setuju
"Oke"". Toko tutup jam berape ?",oke toko tutup jam berape,setuju
Git toko buka jam berape ye ?,git toko buka jam berape ye,setuju
Kalau bise cepat saye bayar lebih bg 😁🙏,kalau bise cepat saye bayar lebih bg,setuju
Oke bg. Bentar lagi saya kesana,oke bg bentar lagi saya kesana,setuju
Ok,ok,setuju
Dokumen yg di data D nya?,dokumen yg di data d nya,setuju
"Waduh ada solusi lain gk ya? 
Bahan kerjaan disitu semua",waduh ada solusi lain gk ya bahan kerjaan disitu semua,setuju
Laptop nya masih gk bisa hidup kah tanpa di instal?,laptop nya masih gk bisa hidup kah tanpa di instal,setuju
Ini solusi nya di instal?,ini solusi nya di instal,setuju
reskyka syahria,reskyka syahria,setuju
belum kah bang,belum kah bang,tanya_status
kire² sampai  jam berape lah  bg krne mo makai,kire sampai jam berape lah bg krne mo makai,umum_teknis
kira² jam 3an selesai nd bang,kira jam 3an selesai nd bang,tanya_status
"permisi bang, mau nanya",permisi bang mau nanya,setuju
besok buka ke bang,besok buka ke bang,setuju
oke besok saye kesana bang,oke besok saye kesana bang,setuju
oh berarti ndak jadi ganti baterai lah ye bang?,oh berarti ndak jadi ganti baterai lah ye bang,umum_teknis
karena memang dari laptopnya yang ndak mumpuni?,karena memang dari laptopnya yang ndak mumpuni,setuju
"oh iyalah bang, terima kasih yaa",oh iyalah bang terima kasih yaa,setuju
besok saya ambil ya bang,besok saya ambil ya bang,setuju
Apk Nya terapus semua nda bang,apk nya terapus semua nda bang,setuju
okee bang,okee bang,setuju
Mungkin malam nanti saya ambil ya sebelum jam 9,mungkin malam nanti saya ambil ya sebelum jam 9,tanya_status
Oo iya,oo iya,setuju
Nanti saya ambil,nanti saya ambil,setuju
Ok,ok,setuju
Ok,ok,setuju
malam masih buka gak,malam masih buka gak,umum_teknis
Garansi endk Bg,garansi endk bg,umum_teknis
Ok terimakasih Bg,ok terimakasih bg,setuju
Kemungkinan besok atau Senin lah Bg langsung kuliah,kemungkinan besok atau senin lah bg langsung kuliah,setuju
Ok baik Bg,ok baik bg,setuju
Oh ok lh terimakasih ya Bg,oh ok lh terimakasih ya bg,setuju
Malam ini tutup jam berapa,malam ini tutup jam berapa,umum_teknis
Besok bukak jam berapa Bg,besok bukak jam berapa bg,setuju
Klok Ade motor malam ini saya ambil Bg,klok ade motor malam ini saya ambil bg,setuju
Klok tk Ade besok lah ye Bg,klok tk ade besok lah ye bg,setuju
Selamat pagi.. Laptop saya udh di perbaiki kah,selamat pagi laptop saya udh di perbaiki kah,setuju
Baik bang.. Tutup toko jam brp ya,baik bang tutup toko jam brp ya,setuju
Baik.. Nnti saya ke sana ya,baik nnti saya ke sana ya,setuju
Iya bg udh di pindahin,iya bg udh di pindahin,setuju
Iya bg kosong local d aja yg di ambil,iya bg kosong local d aja yg di ambil,setuju
Jdi bru ku bawa ke toko abg,jdi bru ku bawa ke toko abg,setuju
Ndk ade saye buka agik setelah die pegangnye,ndk ade saye buka agik setelah die pegangnye,umum_teknis
Okee,okee,setuju
Bsok bsa ambil ya?,bsok bsa ambil ya,setuju
Oke bg,oke bg,setuju
Oke bg sudah bsa,oke bg sudah bsa,setuju
Besok buka bg ??,besok buka bg,setuju
okee kk entar saya ambil,okee kk entar saya ambil,setuju
Assalamualaikum Toko buka ke bos?,assalamualaikum toko buka ke bos,setuju
ayamayam,ayamayam,setuju
OOO iyalah boleh di instal ulang aja,ooo iyalah boleh di instal ulang aja,setuju
Bisa nda DVD nya tu,bisa nda dvd nya tu,setuju
Oke bang,oke bang,setuju
Gimana kondisi nya,gimana kondisi nya,setuju
Iya,iya,setuju
Siang buka kah,siang buka kah,umum_teknis
Okeei,okeei,setuju
Mau nanya,mau nanya,setuju
Kalo SSD berapa ya bang? Dan misal diganti SSD nya apakah ga lemot lagi?,kalo ssd berapa ya bang dan misal diganti ssd nya apakah ga lemot lagi,setuju
Soalnya masih lemot skrg,soalnya masih lemot skrg,setuju
Laptopnya,laptopnya,setuju
Laptop waktu itu bang yg downgrade ke windows 8 sama ganti keyboard,laptop waktu itu bang yg downgrade ke windows 8 sama ganti keyboard,umum_teknis
SSD tu supaya nda ngeleg kah,ssd tu supaya nda ngeleg kah,setuju
Oh oke boleh bg,oh oke boleh bg,setuju
Ok,ok,setuju
Ok malam mngkn sy ksna ambil,ok malam mngkn sy ksna ambil,setuju
Okee aman,okee aman,setuju
"Ok 
Pembayaran bisa menggunakan qris/TF?",ok pembayaran bisa menggunakan qristf,setuju
Mati lg laptopnya ni bang,mati lg laptopnya ni bang,setuju
"Tutup jam brp ?
Hujan soalnya",tutup jam brp hujan soalnya,setuju
Buka jam brp ?,buka jam brp,umum_teknis
Bisa d kerjakan mlm ini lngsung kalo ad teknisinya ?,bisa d kerjakan mlm ini lngsung kalo ad teknisinya,setuju
"Ok
Bntar",ok bntar,setuju
Ok,ok,setuju
Jd udh ndk bs d selamat kan lg laptopnya bng?,jd udh ndk bs d selamat kan lg laptopnya bng,setuju
"Yg abg blg kmren kalau lptop sy bnyak karatanny, gmn tu bng ?
Aman k kalo udh ganti mesinnya?",yg abg blg kmren kalau lptop sy bnyak karatanny gmn tu bng aman k kalo udh ganti mesinnya,setuju
"Okedeh
Besok sy antar lptopny bng",okedeh besok sy antar lptopny bng,setuju
Ok,ok,setuju
kak udaa buka belum?,kak udaa buka belum,tanya_status
oala oke kak besok saya antar laptop ya,oala oke kak besok saya antar laptop ya,setuju
"ini saya yang kemarin malam datang yang masalah kursor delay, emng kalau habis di update untuk tingkat kecerahan layar hilang ya kak",ini saya yang kemarin malam datang yang masalah kursor delay emng kalau habis di update untuk tingkat kecerahan layar hilang ya kak,setuju
mode malam nya juga gabisa di aktifin,mode malam nya juga gabisa di aktifin,setuju
saya di supadio soalnya,saya di supadio soalnya,setuju
Min laptop nya atas nama Suwardana udah jadi kah min,min laptop nya atas nama suwardana udah jadi kah min,setuju
Perkiraan kapan min,perkiraan kapan min,tanya_status
Okee min,okee min,setuju
okee bang,okee bang,setuju
"oke bang, nda ad masalah lain kan?",oke bang nda ad masalah lain kan,setuju
sama harganya berapa bang?,sama harganya berapa bang,setuju
"okay bang kalo begitu, ty",okay bang kalo begitu ty,setuju
tutup jam berape bang?,tutup jam berape bang,umum_teknis
okay,okay,setuju
"Wa'alaikumussalam, oke bang",waalaikumussalam oke bang,setuju
Oke bg saya lagi ga bisa ambil simpan kan dulu gapapa?,oke bg saya lagi ga bisa ambil simpan kan dulu gapapa,setuju
Oke bg terima kasih ya,oke bg terima kasih ya,setuju
Bg toko buka jam berapa?,bg toko buka jam berapa,setuju
Oke bg,oke bg,setuju
Udh ya bg,udh ya bg,setuju
"oke bg, bentar ya",oke bg bentar ya,setuju
iya kak,iya kak,setuju
ntr kalau mau ambil saya kabarin ya kak,ntr kalau mau ambil saya kabarin ya kak,setuju
"waalaikumsalam, okee bang nanti saya ambil yaa",waalaikumsalam okee bang nanti saya ambil yaa,setuju
"Iya lah bang, nanti saya kesana 
Malam abng buka kah?",iya lah bang nanti saya kesana malam abng buka kah,setuju
Jadi untuk perbaikannya apa2 saja ya Bg?,jadi untuk perbaikannya apa2 saja ya bg,setuju
Owh ok Bang,owh ok bang,setuju
Nanti infokan saja,nanti infokan saja,setuju
"Iya bang, asal datanya masih aman",iya bang asal datanya masih aman,setuju
Owh ok Bang,owh ok bang,setuju
"Bang, untuk leptop nya bagaimana yaa?",bang untuk leptop nya bagaimana yaa,setuju
"Soalnya dia klo buka file, atau mau ngetik di word suka loading lama bisa terbuka filenya",soalnya dia klo buka file atau mau ngetik di word suka loading lama bisa terbuka filenya,setuju
Owh maksudnya itu penyebab suka loading ya Bg?,owh maksudnya itu penyebab suka loading ya bg,setuju
"Klo misalnya diperbaiki, budget nya sekitar berapa ya Bg",klo misalnya diperbaiki budget nya sekitar berapa ya bg,setuju
"Untuk perbaikannya, touchpad ya Bg?? Atau ada yg perlu diperbaiki lagi?",untuk perbaikannya touchpad ya bg atau ada yg perlu diperbaiki lagi,setuju
"Untuk LCD nya, ngaruh ngak Bang, klo mau pake laptopnya?",untuk lcd nya ngaruh ngak bang klo mau pake laptopnya,setuju
"Misalnya LCD diperbaiki/ganti, biayanya berapa Bang",misalnya lcd diperbaikiganti biayanya berapa bang,setuju
"Klo untuk cas kadang masuk kadang enggak itu gimana Bang, dr Laptopnya atau casannya yg rusak?",klo untuk cas kadang masuk kadang enggak itu gimana bang dr laptopnya atau casannya yg rusak,setuju
Owh ok. Klo casannya ada jual juga kah Bang? Dan harganya berapaan?,owh ok klo casannya ada jual juga kah bang dan harganya berapaan,setuju
Bang saya ganti touchpad dg beli casannya saja .. Bearti totalnya semuanya 450.000  sama perbaikannya? Atau berapa Bang?,bang saya ganti touchpad dg beli casannya saja bearti totalnya semuanya 450000 sama perbaikannya atau berapa bang,setuju
Owh ok.. Ganti itu saja Bang,owh ok ganti itu saja bang,setuju
"Ok Bang. klo sudah selesai diperbaiki, infokan saja ya Bang",ok bang klo sudah selesai diperbaiki infokan saja ya bang,tanya_status
Owh sipp bg,owh sipp bg,setuju
Ok bg,ok bg,setuju
Ok sipp,ok sipp,setuju
"Ok Bang, sekitar sore atau habis magrib ngambilnya",ok bang sekitar sore atau habis magrib ngambilnya,setuju
"Klo ganti gimana bg, bayar lg atau gimana",klo ganti gimana bg bayar lg atau gimana,setuju
Ok bg,ok bg,setuju
"Mungkin blm  bisa hari ini Sy kesana bg, soalnya masih di kampung",mungkin blm bisa hari ini sy kesana bg soalnya masih di kampung,setuju
Untk leptop Advan cuma itu aja ke bg perbaikannya?,untk leptop advan cuma itu aja ke bg perbaikannya,setuju
Ok bg. Boleh,ok bg boleh,setuju
Leptop yg satunya gimana bg,leptop yg satunya gimana bg,setuju
Ok,ok,setuju
Iya Bg. Jadi perbaikannya gimana bg?,iya bg jadi perbaikannya gimana bg,setuju
Itu aja kah bg perbaikannya?,itu aja kah bg perbaikannya,setuju
Boleh bg. Nanti klo sudah selesai infokn saja,boleh bg nanti klo sudah selesai infokn saja,tanya_status
Owh Iya Bg,owh iya bg,setuju
Habis Isya masih buka ndak Bg?,habis isya masih buka ndak bg,setuju
Ok,ok,setuju
Tapi itu masih bisa di paki ya bg,tapi itu masih bisa di paki ya bg,setuju
Itu punya keluarga mau di buang Sya ambil dikira rusak kalau untuk kuliah masih bisa bang,itu punya keluarga mau di buang sya ambil dikira rusak kalau untuk kuliah masih bisa bang,setuju
Ok,ok,setuju
Ok siap makasih bg,ok siap makasih bg,setuju
"Waduh saya lagi diluar ni bang, tokonya buka sampai jam berapa bang?",waduh saya lagi diluar ni bang tokonya buka sampai jam berapa bang,setuju
Ok sip,ok sip,setuju
Ok boleh bang,ok boleh bang,setuju
Ok bentar lagi saye kesana,ok bentar lagi saye kesana,setuju
Ok bg,ok bg,setuju
Yang kipas aman bg,yang kipas aman bg,setuju
Tapi masih ok buat dipakai y bg,tapi masih ok buat dipakai y bg,setuju
Baterainya gak bisa dicas,baterainya gak bisa dicas,setuju
Apa ya kira2 kendalanya bg,apa ya kira2 kendalanya bg,setuju
ok bg,ok bg,setuju
besok yaa bang,besok yaa bang,setuju
layarnya aman kn bang,layarnya aman kn bang,setuju
"omagat makasih banyak bang, anak ku",omagat makasih banyak bang anak ku,setuju
kapan itu kira-kira bisa diambil bg,kapan itu kirakira bisa diambil bg,tanya_status
okey bang,okey bang,setuju
"oke bang, buka sampe jam berapa bg",oke bang buka sampe jam berapa bg,setuju
besok ye bang sya ambil,besok ye bang sya ambil,setuju
bang pembayaran nya bisa tf ga,bang pembayaran nya bisa tf ga,setuju
jadi besok saya tinggal ambil aja,jadi besok saya tinggal ambil aja,setuju
bagi no rek nya bang,bagi no rek nya bang,setuju
nanti sore saya ambil laptop nya,nanti sore saya ambil laptop nya,setuju
tekan ape ya,tekan ape ya,setuju
pengaturan app nya yang mana bang,pengaturan app nya yang mana bang,setuju
okey bang makasih banyak🙏🏻,okey bang makasih banyak,setuju
"kan kemarin abg bilang buat bagi penyimpanan nya juga ke data D, tapi data D juga ada disitu ngaruh gak kira2 ke penyimpanan local disk C nya?",kan kemarin abg bilang buat bagi penyimpanan nya juga ke data d tapi data d juga ada disitu ngaruh gak kira2 ke penyimpanan local disk c nya,setuju
okey makasih banyak bang🙏🏻🧎‍♀️,okey makasih banyak bang,setuju
bang kok laptop saya gamau nyala lagi ya,bang kok laptop saya gamau nyala lagi ya,setuju
okey habis magrib sya ke kesana ya🙏🏻,okey habis magrib sya ke kesana ya,setuju
bang laptop saya belum kah,bang laptop saya belum kah,tanya_status
sya ada deadline tugas besok😞,sya ada deadline tugas besok,setuju
itu ambil ke toko langsung ke bg,itu ambil ke toko langsung ke bg,setuju
okey habis magrib sya kesana ya makasih banyak bg🙏🏻,okey habis magrib sya kesana ya makasih banyak bg,setuju
okelah bang makasih banyak🙏🏻,okelah bang makasih banyak,setuju
nyala cepat kan,nyala cepat kan,setuju
okey nanti saya kesana,okey nanti saya kesana,setuju
jam berapa toko tutup,jam berapa toko tutup,setuju
okey jam 7an sya kesana,okey jam 7an sya kesana,setuju
bang sya ambil nya nunggu hujan reda aja klo ga besok ya,bang sya ambil nya nunggu hujan reda aja klo ga besok ya,setuju
Ohh gitu ya bangg,ohh gitu ya bangg,setuju
Ohh ok bang mksehh infonyee🙏🙏,ohh ok bang mksehh infonyee,setuju
Oke bang,oke bang,setuju
"Sore bang, saya jadi pesan baterai utk laptop Advan saya bang",sore bang saya jadi pesan baterai utk laptop advan saya bang,setuju
Okee bang,okee bang,setuju
"Oke siap bang, makasih bang",oke siap bang makasih bang,setuju
"Okee bang, aman, makasih bang",okee bang aman makasih bang,setuju
Ndk bisa 300 kh ndk ush garansi soalnya sbntar lg sya plg ke sintang,ndk bisa 300 kh ndk ush garansi soalnya sbntar lg sya plg ke sintang,setuju
Nnti klu pas kponakan sya kluar sya sruh ambil,nnti klu pas kponakan sya kluar sya sruh ambil,setuju
"Lupa nanya kmrn, klu ganti speaker laptop yg kmrn brp.",lupa nanya kmrn klu ganti speaker laptop yg kmrn brp,setuju
"Bisa servis kh, pecah suaranya.",bisa servis kh pecah suaranya,setuju
"Owh iya bang boleh
Mau nnyk bang apa ad garansi nya?",owh iya bang boleh mau nnyk bang apa ad garansi nya,setuju
Owh iya bang,owh iya bang,setuju
Iya bang jdi,iya bang jdi,setuju
Okeee,okeee,setuju
Iya baik bang,iya baik bang,setuju
Gitu ya bang jadi bang lep top nya ndk bisa di betul kan??,gitu ya bang jadi bang lep top nya ndk bisa di betul kan,setuju
"Owh oke bang 
Kemungkinan bsk saya ambil lep top nya",owh oke bang kemungkinan bsk saya ambil lep top nya,setuju
"Iya baik bang 
Mksih",iya baik bang mksih,setuju
Besok siang saya ke toko lgi bg soal ny seklian ke kampus,besok siang saya ke toko lgi bg soal ny seklian ke kampus,setuju
Jdi file ny bakalan hilang ya bg atau gmn,jdi file ny bakalan hilang ya bg atau gmn,setuju
Klo ssd yg bermasalah itu mau di ganti ap gmn bg,klo ssd yg bermasalah itu mau di ganti ap gmn bg,umum_teknis
"Yaudh bg saya jg ngejar mo pulkam jdi laptop ny saya bawa dlu ya bg untuk biaya cek ny brp kira"" bg",yaudh bg saya jg ngejar mo pulkam jdi laptop ny saya bawa dlu ya bg untuk biaya cek ny brp kira bg,setuju
Oke bg nanti laptop ny saya ambil ke toko,oke bg nanti laptop ny saya ambil ke toko,setuju
"Oke bang, nanti saya ambil ya",oke bang nanti saya ambil ya,setuju
Bang udah di bayar abang saya ya,bang udah di bayar abang saya ya,setuju
Agak sorean ya bang saya ambilnya,agak sorean ya bang saya ambilnya,setuju
Oke,oke,setuju
"Bang, saya mau upgrade Wi-Fi card laptop ASUS TUF FX505DD ke Intel Wi-Fi 6 AX200
Mau ganti Qualcomm Atheros QCA9377 ke Intel AX200 NGW M.2 2230.",bang saya mau upgrade wifi card laptop asus tuf fx505dd ke intel wifi 6 ax200 mau ganti qualcomm atheros qca9377 ke intel ax200 ngw m2 2230,setuju
kena brp bg biaya ny,kena brp bg biaya ny,setuju
sama bersihin kipas dn ganti thermal paste,sama bersihin kipas dn ganti thermal paste,umum_teknis
oke bang,oke bang,setuju
bsk ijin sy wa ulang ya bg,bsk ijin sy wa ulang ya bg,setuju
gimana bg? udh ada jawaban kh dri teknisi nya,gimana bg udh ada jawaban kh dri teknisi nya,setuju
ganti thermal paste dn bersihin kipas brp bg,ganti thermal paste dn bersihin kipas brp bg,umum_teknis
oke bg,oke bg,setuju
Pengecas nya aman kah bg?,pengecas nya aman kah bg,setuju
"Boleh bg, ganti aja bg",boleh bg ganti aja bg,umum_teknis
Oke bg,oke bg,setuju
"Wa'alaikum salam wr.wb
Okee bg. Saya infokan kalau mau ambil bg",waalaikum salam wrwb okee bg saya infokan kalau mau ambil bg,setuju
"Okee, aman ya bg. Batrai aja berarti",okee aman ya bg batrai aja berarti,setuju
ohh oke bang untuk harga berapa ya bang,ohh oke bang untuk harga berapa ya bang,setuju
ok bang nnti malam bisa saya ambil ga sekitar jam setengah 9,ok bang nnti malam bisa saya ambil ga sekitar jam setengah 9,setuju
untuk pembayaran bisa pakai tf ga bang,untuk pembayaran bisa pakai tf ga bang,setuju
ok bang,ok bang,setuju
Oke,oke,setuju
Iyaaa bang nantik saya ambil ya,iyaaa bang nantik saya ambil ya,setuju
Besok Jak bah boleh dk saye ambilnya,besok jak bah boleh dk saye ambilnya,setuju
"Selamat pagi, baik bang terima kasih, apakah laptopnya sudah bisa diambil hari ini?",selamat pagi baik bang terima kasih apakah laptopnya sudah bisa diambil hari ini,setuju
"Oke bang, terima kasih",oke bang terima kasih,setuju
"Malam bang, apakah laptopnya sudah selesai dikerjakan dan dapat diambil?",malam bang apakah laptopnya sudah selesai dikerjakan dan dapat diambil,tanya_status
"Malam bang, tadi lupa nanya.. untuk selanjutnya agar baterainya tahan lama dan nda rusak lagi gimana ya pemeliharannya?",malam bang tadi lupa nanya untuk selanjutnya agar baterainya tahan lama dan nda rusak lagi gimana ya pemeliharannya,setuju
"Oalaa, berarti jangan biarkan cas bermalam gitu ya",oalaa berarti jangan biarkan cas bermalam gitu ya,setuju
"Ohh oke bang, terima kasih!",ohh oke bang terima kasih,setuju
"Pagi bang, ini kenapa laptopnya aneh ya? Setiap saya mau ngetik, malah nda bisa",pagi bang ini kenapa laptopnya aneh ya setiap saya mau ngetik malah nda bisa,setuju
Laptopnya baru saya coba pakai pagi ini,laptopnya baru saya coba pakai pagi ini,setuju
Sepertinya semua bang,sepertinya semua bang,setuju
"Dia tu kek nda sesuai gitu, kita pencet apa munculnya apa, misal saya pencet huruf o dia langsung arahkan ke folder, trus pencet huruf lain, langsung new tab, pencet huruf lain lagi malah ke profil google, kek aneh gitu",dia tu kek nda sesuai gitu kita pencet apa munculnya apa misal saya pencet huruf o dia langsung arahkan ke folder trus pencet huruf lain langsung new tab pencet huruf lain lagi malah ke profil google kek aneh gitu,setuju
Kenapa bisa begitu ya bang? Sebelumnya masi normal,kenapa bisa begitu ya bang sebelumnya masi normal,tanya_status
"Iya bang, untuk sekarang emang baterai nya aman, keyboard nya ja ni, kemarin pun nda ada cek2 lain kan ya selain baterai",iya bang untuk sekarang emang baterai nya aman keyboard nya ja ni kemarin pun nda ada cek2 lain kan ya selain baterai,setuju
"Nah itu, saya pun bingung bang kenapa malah keyboard nya jadi bermasalah, padahal sebelumnya nda pernah ada masalah",nah itu saya pun bingung bang kenapa malah keyboard nya jadi bermasalah padahal sebelumnya nda pernah ada masalah,tanya_status
"Oke bang, siang ini saya bawa ke toko",oke bang siang ini saya bawa ke toko,setuju
